127.0.0.1 - - [20/Dec/2018:09:31:45 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/css/jquery.mb.thumbgallery.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/css/banner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/aos2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/jquery.mb.thumbGallery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/jquery.ba-cond.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/js/jquery.slitslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/5s.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/4s.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/info-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/info-img1-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/info-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/info-img3-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/info-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/info-img4-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/images/cd-top-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:46 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:58 +0530] "GET /Attacker/userlogin.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:58 +0530] "GET /Attacker/login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:31:58 +0530] "GET /Attacker/login/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:32:20 +0530] "POST /Attacker/UserRegistration HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:32:28 +0530] "GET /Attacker/userhome.jsp HTTP/1.1" 200 6109
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:32:28 +0530] "GET /Attacker/css/pogo-slider.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:32:28 +0530] "GET /Attacker/js/toucheffects.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:32:28 +0530] "GET /Attacker/js/jquery.pogo-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:32:28 +0530] "GET /Attacker/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:32:28 +0530] "GET /Attacker/images/u1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:09:32:28 +0530] "GET /Attacker/images/u2.jpg HTTP/1.1" 304 -
