127.0.0.1 - - [14/Dec/2018:12:29:01 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/registrationotp.jsp HTTP/1.1" 200 8332
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/css/banner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/css/jquery.mb.thumbgallery.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/login/css/style.css HTTP/1.1" 200 10730
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/aos2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/jquery.mb.thumbGallery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/jquery.ba-cond.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/js/jquery.slitslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/login/images/bg.jpg HTTP/1.1" 200 439192
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/images/cd-top-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:27 +0530] "GET /Attacker/registrationotp.jsp HTTP/1.1" 200 8332
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:30:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:42:41 +0530] "GET /Attacker/registrationotp.jsp HTTP/1.1" 200 8332
0:0:0:0:0:0:0:1 - - [14/Dec/2018:12:42:41 +0530] "GET /Attacker/registrationotp.jsp HTTP/1.1" 200 8332
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:09 +0530] "GET /Attacker/userlogin.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:09 +0530] "GET /Attacker/login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:09 +0530] "GET /Attacker/login/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/css/jquery.mb.thumbgallery.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/css/banner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/aos2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/jquery.mb.thumbGallery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/jquery.ba-cond.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/js/jquery.slitslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/4s.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/info-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/5s.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/info-img1-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/info-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/info-img3-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/info-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/info-img4-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/images/cd-top-arrow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:13 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:21 +0530] "GET /Attacker/dataownerregistration.jsp HTTP/1.1" 200 3937
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:21 +0530] "GET /Attacker/registration/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:21 +0530] "GET /Attacker/registration/css/style.css HTTP/1.1" 200 6827
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:21 +0530] "GET /Attacker/registration/js/validator.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:21 +0530] "GET /Attacker/registration/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:21 +0530] "GET /Attacker/registration/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:23:17:21 +0530] "GET /Attacker/registration/images/bg.jpg HTTP/1.1" 200 439192
