127.0.0.1 - - [18/Dec/2018:11:08:17 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/css/jquery.mb.thumbgallery.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/css/banner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/aos2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/jquery.mb.thumbGallery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/jquery.ba-cond.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:19 +0530] "GET /Attacker/js/jquery.slitslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:21 +0530] "GET /Attacker/images/5s.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:21 +0530] "GET /Attacker/images/4s.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:21 +0530] "GET /Attacker/images/1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:21 +0530] "GET /Attacker/images/2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:21 +0530] "GET /Attacker/images/c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:21 +0530] "GET /Attacker/images/info-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:11:08:21 +0530] "GET /Attacker/images/info-img1-1.jpg HTTP/1.1" 304 -
