0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:45 +0530] "GET /Attacker/js/jquery.pogo-slider.min.js HTTP/1.1" 200 27625
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:45 +0530] "GET /Attacker/images/c1.png HTTP/1.1" 200 47433
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:45 +0530] "GET /Attacker/images/c2.jpg HTTP/1.1" 200 15963
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:45 +0530] "GET /Attacker/images/c3.jpg HTTP/1.1" 200 85601
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:46 +0530] "GET /Attacker/cloudserverhome.jsp HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:48 +0530] "GET /Attacker/cloudserverhome.jsp HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:50 +0530] "GET /Attacker/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:50 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:02:50 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/index.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/css/jquery.mb.thumbgallery.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/css/banner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/SmoothScroll.min.js HTTP/1.1" 304 -
